Time UTC,Conductivity (S/m),Density (kg/m3),Practical Salinity (psu),Pressure (decibar),Temperature (C),Turbidity (NTU),Chlorophyll (ug/l),Oxygen Concentration Corrected (ml/l)
2019-01-03T19,3.159691028,1022.816212,29.41037375,9.109141667,8.799062222,0.781927778,0.1273125,4.859028774
2019-01-03T20,3.153785448,1022.75601,29.33572098,9.241971675,8.815807276,0.524743127,0.113294918,4.775446807
2019-01-03T21,3.15707475,1022.780021,29.36599851,9.449569444,8.820016111,0.331577778,0.109736111,4.712419718
2019-01-03T22,3.158869028,1022.795382,29.38492116,9.553411111,8.819406111,0.406313889,0.205763889,4.698342785
2019-01-03T23,3.153466917,1022.755261,29.33366319,9.380125,8.814266111,0.467105556,0.104527778,4.87826728
2019-01-04T00,3.145956568,1022.691901,29.25559621,8.913268537,8.815493752,0.785756734,0.116939739,4.942179006
2019-01-04T01,3.14587625,1022.693418,29.26024357,8.251169444,8.809180833,1.092005556,0.136048611,4.985120846
2019-01-04T02,3.128507472,1022.581364,29.11392056,7.529177778,8.770209167,1.081883333,0.130354167,5.253197128
2019-01-04T03,3.128394083,1022.593456,29.12938417,6.899008333,8.750280556,0.946208333,0.202041667,5.292667277
2019-01-04T04,3.137065371,1022.657185,29.21443697,6.461871702,8.755637045,0.761877256,0.165454041,5.20114898
2019-01-04T05,3.142143694,1022.6937,29.26316297,6.255975,8.760066111,0.683613889,0.157243056,5.132809816
2019-01-04T06,3.136996306,1022.647673,29.20547721,6.237936111,8.765786667,0.829822222,0.121625,5.047532033
